onetsoccode,Title,taskid,task,tasktype,incumbentsresponding,date,domainsource,scaleid,category,datavalue,n,standarderror,lowercibound,uppercibound,recommendsuppress
15-2051.02,Clinical Data Managers,16274,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",Core,20,07/2016,Occupational Expert,IM,n/a,3.45,20,n/a,n/a,n/a,n/a
15-2051.02,Clinical Data Managers,16281,"Design and validate clinical databases, including designing or testing logic checks.",Core,20,07/2016,Occupational Expert,IM,n/a,4.5,20,n/a,n/a,n/a,n/a
15-2051.02,Clinical Data Managers,16269,"Evaluate processes and technologies, and suggest revisions to increase productivity and efficiency.",Core,20,07/2016,Occupational Expert,IM,n/a,3.7,20,n/a,n/a,n/a,n/a
15-2051.02,Clinical Data Managers,16280,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",Core,20,07/2016,Occupational Expert,IM,n/a,4.3200002,19,n/a,n/a,n/a,n/a
15-2051.02,Clinical Data Managers,16273,"Write work instruction manuals, data capture guidelines, or standard operating procedures.",Core,20,07/2016,Occupational Expert,IM,n/a,3.5999999,20,n/a,n/a,n/a,n/a
15-2051.02,Clinical Data Managers,16267,"Provide support and information to functional areas such as marketing, clinical monitoring, and medical affairs.",Supplemental,20,07/2016,Occupational Expert,IM,n/a,2.8399999,19,n/a,n/a,n/a,n/a
15-2051.02,Clinical Data Managers,16277,"Prepare data analysis listings and activity, performance, or progress reports.",Core,20,07/2016,Occupational Expert,IM,n/a,3.95,19,n/a,n/a,n/a,n/a
15-2051.02,Clinical Data Managers,16268,Prepare appropriate formatting to data sets as requested.,Core,20,07/2016,Occupational Expert,IM,n/a,4,17,n/a,n/a,n/a,n/a
15-2099.01,Bioinformatics Technicians,17706,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",Core,65,07/2014,Incumbent,IM,n/a,3.78,52,0.2478,3.2876,4.2824,N
15-2099.01,Bioinformatics Technicians,17720,Write computer programs or scripts to be used in querying databases.,Core,66,07/2014,Incumbent,IM,n/a,3.53,53,0.2019,3.1298,3.9399,N
15-2099.01,Bioinformatics Technicians,17722,Confer with database users about project timelines and changes.,Supplemental,65,07/2014,Incumbent,IM,n/a,3.5599999,45,0.2869,2.9788,4.1351,N
15-2099.01,Bioinformatics Technicians,17712,Design or implement web-based tools for querying large-scale biological databases.,Supplemental,65,07/2014,Incumbent,IM,n/a,3.8499999,39,0.2196,3.4027,4.2917,N
15-2099.01,Bioinformatics Technicians,17723,Package bioinformatics data for submission to public repositories.,Supplemental,65,07/2014,Incumbent,IM,n/a,3.29,38,0.1718,2.9407,3.6370,N
15-2099.01,Bioinformatics Technicians,17710,"Confer with researchers, clinicians, or information technology staff to determine data needs and programming requirements and to provide assistance with database-related research activities.",Core,66,07/2014,Incumbent,IM,n/a,3.77,58,0.2379,3.2978,4.2504,N
15-2099.01,Bioinformatics Technicians,17719,Train bioinformatics staff or researchers in the use of databases.,Supplemental,65,07/2014,Incumbent,IM,n/a,3.1500001,43,0.2450,2.6512,3.6401,N
15-2099.01,Bioinformatics Technicians,17717,Participate in the preparation of reports or scientific publications.,Core,66,07/2014,Incumbent,IM,n/a,3.77,57,0.2330,3.3023,4.2360,N
15-2099.01,Bioinformatics Technicians,17707,"Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases.",Core,66,07/2014,Incumbent,IM,n/a,3.79,48,0.2051,3.3818,4.2072,N
15-2099.01,Bioinformatics Technicians,17724,"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades.",Supplemental,66,07/2014,Incumbent,IM,n/a,3.3599999,41,0.2151,2.9205,3.7898,N
15-2099.01,Bioinformatics Technicians,17709,"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",Core,66,07/2014,Incumbent,IM,n/a,3.98,60,0.1857,3.6107,4.3540,N
15-2099.01,Bioinformatics Technicians,17714,"Document all database changes, modifications, or problems.",Core,65,07/2014,Incumbent,IM,n/a,3.48,53,0.2739,2.9293,4.0287,N
15-2099.01,Bioinformatics Technicians,17721,Conduct quality analyses of data inputs and resulting analyses or predictions.,Core,65,07/2014,Incumbent,IM,n/a,3.8199999,56,0.2731,3.2765,4.3710,N
15-2099.01,Bioinformatics Technicians,17713,Develop or apply data mining and machine learning algorithms.,Supplemental,66,07/2014,Incumbent,IM,n/a,3.8800001,41,0.2231,3.4325,4.3342,N
15-2099.01,Bioinformatics Technicians,17715,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",Core,65,07/2014,Incumbent,IM,n/a,3.8800001,53,0.2289,3.4220,4.3409,N
15-2099.01,Bioinformatics Technicians,17718,Test new or updated software or tools and provide feedback to developers.,Supplemental,66,07/2014,Incumbent,IM,n/a,3.0599999,49,0.1794,2.6993,3.4208,N
15-2099.01,Bioinformatics Technicians,17708,"Monitor database performance and perform any necessary maintenance, upgrades, or repairs.",Supplemental,65,07/2014,Incumbent,IM,n/a,3.5899999,40,0.1771,3.2332,3.9497,N
15-2099.01,Bioinformatics Technicians,17716,Maintain awareness of new and emerging computational methods and technologies.,Core,66,07/2014,Incumbent,IM,n/a,3.8699999,58,0.2005,3.4731,4.2762,N
15-2099.01,Bioinformatics Technicians,17711,Create data management or error-checking procedures and user manuals.,Core,66,07/2014,Incumbent,IM,n/a,3.4300001,55,0.3384,2.7524,4.1095,N
17-1011.00,"Architects, Except Landscape and Naval",20481,Meet with clients to review or discuss architectural drawings.,Core,21,08/2021,Occupational Expert,IM,n/a,4.3800001,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20485,"Monitor the work of specialists, such as electrical engineers, mechanical engineers, interior designers, or sound specialists to ensure optimal form or function of designs or final structures.",Core,21,08/2021,Occupational Expert,IM,n/a,4.3299999,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",19595,"Perform predesign services, such as feasibility or environmental impact studies.",Core,20,08/2021,Occupational Expert,IM,n/a,3.3499999,20,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",134,Prepare contract documents for building contractors.,Core,21,08/2021,Occupational Expert,IM,n/a,4.0999999,20,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",139,Represent clients in obtaining bids or awarding construction contracts.,Core,21,08/2021,Occupational Expert,IM,n/a,3.71,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20480,Direct activities of technicians engaged in preparing drawings or specification documents.,Core,21,08/2021,Occupational Expert,IM,n/a,4,19,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20482,"Develop marketing materials, proposals, or presentations to generate new work opportunities.",Core,21,08/2021,Occupational Expert,IM,n/a,3.5699999,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",19593,"Design structures that incorporate environmentally friendly building practices or concepts, such as Leadership in Energy and Environmental Design (LEED) standards.",Core,21,08/2021,Occupational Expert,IM,n/a,3.0599999,17,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20479,"Prepare scale drawings or architectural designs, using computer-aided design or other tools.",Core,21,08/2021,Occupational Expert,IM,n/a,4.4299998,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20486,Plan layouts of structural architectural projects.,Core,21,08/2021,Occupational Expert,IM,n/a,4.25,20,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20487,Inspect proposed building sites to determine suitability for construction.,Supplemental,21,08/2021,Occupational Expert,IM,n/a,2.8900001,19,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",136,Integrate engineering elements into unified architectural designs.,Core,21,08/2021,Occupational Expert,IM,n/a,4.3299999,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",19592,Design or plan construction of green building projects to minimize adverse environmental impact or conserve energy.,Core,21,08/2021,Occupational Expert,IM,n/a,3,20,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",19590,Calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.,Supplemental,21,08/2021,Occupational Expert,IM,n/a,2.5899999,17,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20488,"Create three-dimensional or interactive representations of designs, using computer-assisted design software.",Core,21,08/2021,Occupational Expert,IM,n/a,3.79,19,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",19594,Gather information related to projects' environmental sustainability or operational efficiency.,Supplemental,21,08/2021,Occupational Expert,IM,n/a,2.95,20,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",140,"Prepare operating and maintenance manuals, studies, or reports.",Supplemental,21,08/2021,Occupational Expert,IM,n/a,2.55,11,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",19591,"Design environmentally sound structural upgrades to existing buildings, such as natural lighting systems, green roofs, or rainwater collection systems.",Supplemental,21,08/2021,Occupational Expert,IM,n/a,2.8299999,18,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20484,Conduct periodic on-site observations of construction work to monitor compliance with plans.,Core,21,08/2021,Occupational Expert,IM,n/a,4.1999998,20,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",130,"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",Core,21,08/2021,Occupational Expert,IM,n/a,4.4000001,20,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",138,Administer construction contracts.,Core,21,08/2021,Occupational Expert,IM,n/a,3.9400001,18,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",131,Consult with clients to determine functional or spatial requirements of structures.,Core,21,08/2021,Occupational Expert,IM,n/a,4.3800001,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",20483,Develop final construction plans that include aesthetic representations of the structure or details for its construction.,Core,21,08/2021,Occupational Expert,IM,n/a,4.48,21,n/a,n/a,n/a,n/a
17-1011.00,"Architects, Except Landscape and Naval",19596,"Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.",Core,21,08/2021,Occupational Expert,IM,n/a,4.0999999,21,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,18470,Prepare graphic representations or drawings of proposed plans or designs.,Core,20,08/2025,Occupational Expert,IM,n/a,4.1599998,19,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20372,"Develop marketing materials, proposals, or presentations to generate new work opportunities.",Core,20,08/2025,Occupational Expert,IM,n/a,3.6500001,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20382,Provide follow-up consultations for clients to ensure landscape designs are maturing or developing as planned.,Core,20,08/2025,Occupational Expert,IM,n/a,3.1900001,16,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20376,Manage the work of subcontractors to ensure quality control.,Core,20,08/2025,Occupational Expert,IM,n/a,3.8399999,19,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,19597,Collaborate with architects or related professionals on whole building design to maximize the aesthetic features of structures or surrounding land and to improve energy efficiency.,Core,20,08/2025,Occupational Expert,IM,n/a,4.25,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20379,Develop planting plans to help clients garden productively or to achieve particular aesthetic effects.,Core,20,08/2025,Occupational Expert,IM,n/a,3.9000001,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20378,"Inspect proposed sites to identify structural elements of land areas or other important site information, such as soil condition, existing landscaping, or the proximity of water management facilities.",Core,20,08/2025,Occupational Expert,IM,n/a,4.0500002,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20374,"Present project plans or designs to public stakeholders, such as government agencies or community groups.",Core,20,08/2025,Occupational Expert,IM,n/a,3.8399999,19,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20375,Integrate existing land features or landscaping into designs.,Core,20,08/2025,Occupational Expert,IM,n/a,4.3699999,19,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,19599,Design and integrate rainwater harvesting or gray and reclaimed water systems to conserve water into building or land designs.,Core,20,08/2025,Occupational Expert,IM,n/a,3.3499999,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20369,"Confer with clients, engineering personnel, or architects on landscape projects.",Core,20,08/2025,Occupational Expert,IM,n/a,4.8499999,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,19600,"Identify and select appropriate sustainable materials for use in landscape designs, such as recycled wood or recycled concrete boards for structural elements or recycled tires for playground bedding.",Core,19,08/2025,Occupational Expert,IM,n/a,3.53,19,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,19598,Create landscapes that minimize water consumption such as by incorporating drought-resistant grasses or indigenous plants.,Core,20,08/2025,Occupational Expert,IM,n/a,3.95,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20377,"Research latest products, technology, or design trends to stay current in the field.",Core,20,08/2025,Occupational Expert,IM,n/a,3.5,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20370,"Prepare site plans, specifications, or cost estimates for land development.",Core,20,08/2025,Occupational Expert,IM,n/a,4.4000001,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20380,"Collaborate with estimators to cost projects, create project plans, or coordinate bids from landscaping contractors.",Core,20,08/2025,Occupational Expert,IM,n/a,3.95,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20373,"Inspect landscape work to ensure compliance with specifications, evaluate quality of materials or work, or advise clients or construction personnel.",Core,20,08/2025,Occupational Expert,IM,n/a,4.4000001,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20381,"Prepare conceptual drawings, graphics, or other visual representations of land areas to show predicted growth or development of land areas over time.",Core,20,08/2025,Occupational Expert,IM,n/a,3.5999999,20,n/a,n/a,n/a,n/a
17-1012.00,Landscape Architects,20371,"Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans.",Core,20,08/2025,Occupational Expert,IM,n/a,4.5300002,19,n/a,n/a,n/a,n/a
17-1021.00,Cartographers and Photogrammetrists,3514,"Identify, scale, and orient geodetic points, elevations, and other planimetric or topographic features, applying standard mathematical formulas.",Core,60,08/2018,Incumbent,IM,n/a,4.1300001,42,0.2955,3.5341,4.7278,N
17-1021.00,Cartographers and Photogrammetrists,3524,"Prepare and alter trace maps, charts, tables, detailed drawings, and three-dimensional optical models of terrain using stereoscopic plotting and computer graphics equipment.",Core,60,08/2018,Incumbent,IM,n/a,4.46,40,0.4108,3.6276,5.0000,N
17-1021.00,Cartographers and Photogrammetrists,3516,"Revise existing maps and charts, making all necessary corrections and adjustments.",Core,59,08/2018,Incumbent,IM,n/a,4.1900001,57,0.2361,3.7126,4.6585,N
17-1021.00,Cartographers and Photogrammetrists,3527,"Travel over photographed areas to observe, identify, record, and verify all relevant features.",Supplemental,60,08/2018,Incumbent,IM,n/a,2.8499999,35,0.3484,2.1448,3.5610,N
17-1021.00,Cartographers and Photogrammetrists,3515,"Collect information about specific features of the Earth, using aerial photography and other digital remote sensing techniques.",Core,60,08/2018,Incumbent,IM,n/a,4.0300002,54,0.2685,3.4955,4.5727,N
17-1021.00,Cartographers and Photogrammetrists,3523,Build and update digital databases.,Core,60,08/2018,Incumbent,IM,n/a,3.8299999,55,0.2354,3.3614,4.3053,N
17-1021.00,Cartographers and Photogrammetrists,3519,"Determine map content and layout, as well as production specifications such as scale, size, projection, and colors, and direct production to ensure that specifications are followed.",Core,60,08/2018,Incumbent,IM,n/a,3.75,54,0.2620,3.2267,4.2778,N
17-1021.00,Cartographers and Photogrammetrists,3522,"Delineate aerial photographic detail, such as control points, hydrography, topography, and cultural features, using precision stereoplotting apparatus or drafting instruments.",Core,60,08/2018,Incumbent,IM,n/a,4.48,38,0.1516,4.1778,4.7920,N
17-1021.00,Cartographers and Photogrammetrists,3526,"Study legal records to establish boundaries of local, national, and international properties.",Core,60,08/2018,Incumbent,IM,n/a,4.29,45,0.3322,3.6185,4.9575,N
17-1021.00,Cartographers and Photogrammetrists,3517,"Compile data required for map preparation, including aerial photographs, survey notes, records, reports, and original maps.",Core,60,08/2018,Incumbent,IM,n/a,4.5100002,59,0.1910,4.1249,4.8898,N
17-1021.00,Cartographers and Photogrammetrists,3521,Select aerial photographic and remote sensing techniques and plotting equipment needed to meet required standards of accuracy.,Supplemental,60,08/2018,Incumbent,IM,n/a,3.72,36,0.2941,3.1180,4.3120,N
17-1021.00,Cartographers and Photogrammetrists,3520,"Examine and analyze data from ground surveys, reports, aerial photographs, and satellite images to prepare topographic maps, aerial-photograph mosaics, and related charts.",Core,60,08/2018,Incumbent,IM,n/a,3.99,45,0.3681,3.2437,4.7272,N
17-1021.00,Cartographers and Photogrammetrists,3518,Inspect final compositions to ensure completeness and accuracy.,Core,60,08/2018,Incumbent,IM,n/a,4.23,55,0.2556,3.7136,4.7386,N
17-1021.00,Cartographers and Photogrammetrists,3525,Determine guidelines that specify which source material is acceptable for use.,Supplemental,59,08/2018,Incumbent,IM,n/a,3.96,43,0.2164,3.5198,4.3931,N
17-1022.00,Surveyors,3543,"Compute geodetic measurements and interpret survey data to determine positions, shapes, and elevations of geomorphic and topographic features.",Core,20,08/2023,Occupational Expert,IM,n/a,4.3499999,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3535,"Plan and conduct ground surveys designed to establish baselines, elevations, and other geodetic measurements.",Core,20,08/2023,Occupational Expert,IM,n/a,4.25,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3544,Develop criteria for survey methods and procedures.,Core,20,08/2023,Occupational Expert,IM,n/a,3.75,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3548,"Survey bodies of water to determine navigable channels and to secure data for construction of breakwaters, piers, and other marine structures.",Core,20,08/2023,Occupational Expert,IM,n/a,3.73,15,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3550,"Determine specifications for equipment to be used for aerial photography, as well as altitudes from which to photograph terrain.",Supplemental,20,08/2023,Occupational Expert,IM,n/a,2.8800001,8,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3531,"Record the results of surveys, including the shape, contour, location, elevation, and dimensions of land or land features.",Core,20,08/2023,Occupational Expert,IM,n/a,4.5,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3549,Direct aerial surveys of specified geographical areas.,Core,20,08/2023,Occupational Expert,IM,n/a,3.53,15,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3546,"Conduct research in surveying and mapping methods, using knowledge of photogrammetric map compilation and electronic data processing.",Core,20,08/2023,Occupational Expert,IM,n/a,3.3499999,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3533,"Prepare, or supervise preparation of, all data, charts, plots, maps, records, and documents related to surveys.",Core,20,08/2023,Occupational Expert,IM,n/a,4.4699998,19,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3537,"Coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects.",Core,20,08/2023,Occupational Expert,IM,n/a,4.0500002,19,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3528,"Prepare and maintain sketches, maps, reports, and legal descriptions of surveys to describe, certify, and assume liability for work performed.",Core,19,08/2023,Occupational Expert,IM,n/a,4.6700001,18,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3532,"Calculate heights, depths, relative positions, property lines, and other characteristics of terrain.",Core,20,08/2023,Occupational Expert,IM,n/a,4.3499999,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3529,"Verify the accuracy of survey data, including measurements and calculations conducted at survey sites.",Core,20,08/2023,Occupational Expert,IM,n/a,4.5500002,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3536,"Search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed.",Core,20,08/2023,Occupational Expert,IM,n/a,4.5300002,19,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3530,"Direct or conduct surveys to establish legal boundaries for properties, based on legal deeds and titles.",Core,20,08/2023,Occupational Expert,IM,n/a,4.8899999,19,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3545,Develop criteria for the design and modification of survey instruments.,Supplemental,19,08/2023,Occupational Expert,IM,n/a,2.3299999,6,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3547,"Locate and mark sites selected for geophysical prospecting activities, such as efforts to locate petroleum or other mineral products.",Supplemental,20,08/2023,Occupational Expert,IM,n/a,3.3299999,12,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,20954,"Testify as an expert witness in court cases on land survey issues, such as property boundaries.",Core,20,08/2023,Occupational Expert,IM,n/a,3.9400001,16,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3539,"Establish fixed points for use in making maps, using geodetic and engineering instruments.",Core,20,08/2023,Occupational Expert,IM,n/a,4.21,19,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3538,Adjust surveying instruments to maintain their accuracy.,Core,20,08/2023,Occupational Expert,IM,n/a,3.9300001,15,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3542,Analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.,Core,19,08/2023,Occupational Expert,IM,n/a,4,18,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3540,"Determine longitudes and latitudes of important features and boundaries in survey areas, using theodolites, transits, levels, and satellite-based global positioning systems (GPS).",Core,20,08/2023,Occupational Expert,IM,n/a,4.1999998,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3541,"Train assistants and helpers, and direct their work in such activities as performing surveys or drafting maps.",Core,20,08/2023,Occupational Expert,IM,n/a,4.0999999,20,n/a,n/a,n/a,n/a
17-1022.00,Surveyors,3534,"Write descriptions of property boundary surveys for use in deeds, leases, or other legal documents.",Core,20,08/2023,Occupational Expert,IM,n/a,4.6300001,19,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16299,Analyze control or survey data to ensure adherence to project specifications or land survey standards.,Core,27,08/2022,Occupational Expert,IM,n/a,4.6199999,26,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16291,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in technology, equipment, or systems.",Core,27,08/2022,Occupational Expert,IM,n/a,3.96,27,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16297,"Compute horizontal and vertical coordinates of control networks, using direct leveling or other geodetic survey techniques, such as triangulation, trilateration, and traversing, to establish features of the Earth's surface.",Core,27,08/2022,Occupational Expert,IM,n/a,4.3099999,26,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16301,"Determine orientation of tracts of land, including position, boundaries, size, and shape, using theodolites, electronic distance-measuring equipment, satellite-based positioning equipment, land information systems, or other geodetic survey equipment.",Core,27,08/2022,Occupational Expert,IM,n/a,3.6500001,23,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16298,Calculate the exact horizontal and vertical position of points on the Earth's surface.,Core,27,08/2022,Occupational Expert,IM,n/a,4.52,27,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16302,"Conduct surveys to determine exact positions, measurement of points, elevations, lines, areas, volumes, contours, or other features of land surfaces.",Core,27,08/2022,Occupational Expert,IM,n/a,4.52,25,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16296,"Compute, retrace, or adjust existing surveys of features such as highway alignments, property boundaries, utilities, control and other surveys to match the ground elevation-dependent grids, geodetic grids, or property boundaries and to ensure accuracy and continuity of data used in engineering, surveying, or construction projects.",Core,27,08/2022,Occupational Expert,IM,n/a,3.71,21,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16300,"Assess the quality of control data to determine the need for additional survey data for engineering, construction, or other projects.",Core,27,08/2022,Occupational Expert,IM,n/a,4.1900001,26,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16292,Verify the mathematical correctness of newly collected survey data.,Core,27,08/2022,Occupational Expert,IM,n/a,4.4400001,25,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16295,"Maintain databases of geodetic and related information, including coordinate, descriptive, or quality assurance data.",Core,27,08/2022,Occupational Expert,IM,n/a,4.5,26,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16289,"Plan or direct the work of geodetic surveying staff, providing technical consultation as needed.",Core,27,08/2022,Occupational Expert,IM,n/a,4.23,26,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16293,Request additional survey data when field collection errors occur or engineering surveying specifications are not maintained.,Core,27,08/2022,Occupational Expert,IM,n/a,4.04,26,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16290,Distribute compiled geodetic data to government agencies or the general public.,Core,27,08/2022,Occupational Expert,IM,n/a,4.04,24,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16288,Provide training and interpretation in the use of methods or procedures for observing and checking controls for geodetic and plane coordinates.,Core,27,08/2022,Occupational Expert,IM,n/a,3.9200001,26,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16294,Prepare progress or technical reports.,Core,27,08/2022,Occupational Expert,IM,n/a,3.79,24,n/a,n/a,n/a,n/a
17-1022.01,Geodetic Surveyors,16287,"Review existing standards, controls, or equipment used, recommending changes or upgrades as needed.",Core,27,08/2022,Occupational Expert,IM,n/a,3.78,27,n/a,n/a,n/a,n/a
17-2011.00,Aerospace Engineers,1341,"Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products.",Core,72,07/2015,Incumbent,IM,n/a,3.4100001,63,0.2003,3.0079,3.8088,N
17-2011.00,Aerospace Engineers,20724,Formulate conceptual design of aeronautical or aerospace products or systems to meet customer requirements or conform to environmental regulations.,Core,72,07/2015,Incumbent,IM,n/a,3.8800001,61,0.1252,3.6343,4.1354,N
17-2011.00,Aerospace Engineers,1340,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",Core,72,07/2015,Incumbent,IM,n/a,3.8299999,64,0.1123,3.6071,4.0558,N
17-2011.00,Aerospace Engineers,19601,"Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.",Supplemental,72,07/2015,Incumbent,IM,n/a,2.28,13,0.0913,2.0789,2.4769,N
17-2011.00,Aerospace Engineers,1344,Evaluate and approve selection of vendors by studying past performance or new advertisements.,Supplemental,72,07/2015,Incumbent,IM,n/a,2.74,39,0.3033,2.1221,3.3503,N
17-2011.00,Aerospace Engineers,1346,Maintain records of performance reports for future reference.,Core,72,07/2015,Incumbent,IM,n/a,3.27,58,0.1939,2.8834,3.6600,N
17-2011.00,Aerospace Engineers,20726,"Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.",Core,71,07/2015,Incumbent,IM,n/a,3.4300001,55,0.1686,3.0966,3.7726,N
17-2011.00,Aerospace Engineers,1345,Plan or coordinate investigation and resolution of customers' reports of technical problems with aircraft or aerospace vehicles.,Core,72,07/2015,Incumbent,IM,n/a,3.8800001,57,0.1200,3.6349,4.1158,N
17-2011.00,Aerospace Engineers,1337,"Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.",Core,72,07/2015,Incumbent,IM,n/a,4,55,0.0621,3.8740,4.1232,N
17-2011.00,Aerospace Engineers,20728,Direct aerospace research and development programs.,Supplemental,72,07/2015,Incumbent,IM,n/a,3.49,32,0.1856,3.1162,3.8733,N
